"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 20 16:23:29 MSK 2022","Thu Oct 20 16:23:29 MSK 2022","356","","orders.CancelOrderTest","","orders.CancelOrderTest","cancelOrderTest","cancelOrderTest",""
"passed","Thu Oct 20 16:23:24 MSK 2022","Thu Oct 20 16:23:25 MSK 2022","1522","","courier.LoginCourierTest","","courier.LoginCourierTest","checkingRequiredFieldsDuringLoginPasswordTest","checkingRequiredFieldsDuringLoginPasswordTest",""
"passed","Thu Oct 20 16:23:21 MSK 2022","Thu Oct 20 16:23:22 MSK 2022","723","","courier.CreateCourierTest","","courier.CreateCourierTest","createNewCourierWithoutRequiredFieldsTest","createNewCourierWithoutRequiredFieldsTest",""
"passed","Thu Oct 20 16:23:26 MSK 2022","Thu Oct 20 16:23:27 MSK 2022","1557","","orders.ListOrderTest","","orders.ListOrderTest","receivingOrdersListTest","receivingOrdersListTest",""
"passed","Thu Oct 20 16:23:23 MSK 2022","Thu Oct 20 16:23:24 MSK 2022","331","","courier.LoginCourierTest","","courier.LoginCourierTest","nonExistentPasswordTest","nonExistentPasswordTest",""
"passed","Thu Oct 20 16:23:27 MSK 2022","Thu Oct 20 16:23:28 MSK 2022","881","","orders.OrderForNumberTest","","orders.OrderForNumberTest","receivingOrdersForNumberTest","receivingOrdersForNumberTest",""
"failed","Thu Oct 20 16:23:30 MSK 2022","Thu Oct 20 16:23:31 MSK 2022","1556","","orders.СompleteOrderTest","","orders.СompleteOrderTest","completedOrderTest","completedOrderTest",""
"passed","Thu Oct 20 16:23:29 MSK 2022","Thu Oct 20 16:23:30 MSK 2022","164","","orders.CreateOrderTest","","orders.CreateOrderTest","createOrderTest","createOrderTest",""
"passed","Thu Oct 20 16:23:13 MSK 2022","Thu Oct 20 16:23:21 MSK 2022","8502","","courier.CreateCourierTest","","courier.CreateCourierTest","createNewCourierTest","createNewCourierTest",""
"passed","Thu Oct 20 16:23:23 MSK 2022","Thu Oct 20 16:23:23 MSK 2022","158","","courier.DeleteCourierTest","","courier.DeleteCourierTest","cantDeleteCouriersWithoutNonExistentIdTest","cantDeleteCouriersWithoutNonExistentIdTest",""
"passed","Thu Oct 20 16:23:28 MSK 2022","Thu Oct 20 16:23:29 MSK 2022","1021","","orders.AcceptOrderTest","","orders.AcceptOrderTest","acceptOrderTest","acceptOrderTest",""
"passed","Thu Oct 20 16:23:22 MSK 2022","Thu Oct 20 16:23:23 MSK 2022","869","","courier.CreateCourierTest","","courier.CreateCourierTest","cantCreateTwoOwnersCouriersTest","cantCreateTwoOwnersCouriersTest",""
"passed","Thu Oct 20 16:23:25 MSK 2022","Thu Oct 20 16:23:26 MSK 2022","490","","courier.LoginCourierTest","","courier.LoginCourierTest","nonExistentUsernameTest","nonExistentUsernameTest",""
